"","activity","gender","year","age_group","amount"
"3096","inpatient team","Female",2006,"85+",6
"3097","community team","Male",2006,"0–4",10
"3098","community team","Male",2006,"5–9",55
"3099","community team","Male",2006,"10–14",273
"3100","community team","Male",2006,"15–19",1524
"3101","community team","Male",2006,"20–24",2627
"3102","community team","Male",2006,"25–29",2679
"3103","community team","Male",2006,"30–34",3083
"3104","community team","Male",2006,"35–39",2999
"3105","community team","Male",2006,"40–44",2769
"3106","community team","Male",2006,"45–49",2396
"3107","community team","Male",2006,"50–54",1754
"3108","community team","Male",2006,"55–59",1248
"3109","community team","Male",2006,"60–64",808
"3110","community team","Male",2006,"65–69",475
"3111","community team","Male",2006,"70–74",267
"3112","community team","Male",2006,"75–79",214
"3113","community team","Male",2006,"80–84",142
"3114","community team","Male",2006,"85+",96
"3115","community team","Female",2006,"0–4",4
"3116","community team","Female",2006,"5–9",23
"3117","community team","Female",2006,"10–14",289
"3118","community team","Female",2006,"15–19",1970
"3119","community team","Female",2006,"20–24",2531
"3120","community team","Female",2006,"25–29",2537
"3121","community team","Female",2006,"30–34",3209
"3122","community team","Female",2006,"35–39",3454
"3123","community team","Female",2006,"40–44",3218
"3124","community team","Female",2006,"45–49",2697
"3125","community team","Female",2006,"50–54",2103
"3126","community team","Female",2006,"55–59",1656
"3127","community team","Female",2006,"60–64",1137
"3128","community team","Female",2006,"65–69",622
"3129","community team","Female",2006,"70–74",360
"3130","community team","Female",2006,"75–79",299
"3131","community team","Female",2006,"80–84",217
"3132","community team","Female",2006,"85+",196
"3133","alcohol and drug team","Male",2006,"0–4",1
"3134","alcohol and drug team","Male",2006,"5–9",0
"3135","alcohol and drug team","Male",2006,"10–14",91
"3136","alcohol and drug team","Male",2006,"15–19",881
"3137","alcohol and drug team","Male",2006,"20–24",1487
"3138","alcohol and drug team","Male",2006,"25–29",1537
"3139","alcohol and drug team","Male",2006,"30–34",1692
"3140","alcohol and drug team","Male",2006,"35–39",1890
"3141","alcohol and drug team","Male",2006,"40–44",1614
"3142","alcohol and drug team","Male",2006,"45–49",1270
"3143","alcohol and drug team","Male",2006,"50–54",729
"3144","alcohol and drug team","Male",2006,"55–59",361
"3145","alcohol and drug team","Male",2006,"60–64",203
"3146","alcohol and drug team","Male",2006,"65–69",85
"3147","alcohol and drug team","Male",2006,"70–74",59
"3148","alcohol and drug team","Male",2006,"75–79",28
"3149","alcohol and drug team","Male",2006,"80–84",6
"3150","alcohol and drug team","Male",2006,"85+",5
"3151","alcohol and drug team","Female",2006,"0–4",0
"3152","alcohol and drug team","Female",2006,"5–9",0
"3153","alcohol and drug team","Female",2006,"10–14",57
"3154","alcohol and drug team","Female",2006,"15–19",356
"3155","alcohol and drug team","Female",2006,"20–24",667
"3156","alcohol and drug team","Female",2006,"25–29",794
"3157","alcohol and drug team","Female",2006,"30–34",1045
"3158","alcohol and drug team","Female",2006,"35–39",1199
"3159","alcohol and drug team","Female",2006,"40–44",1069
"3160","alcohol and drug team","Female",2006,"45–49",759
"3161","alcohol and drug team","Female",2006,"50–54",432
"3162","alcohol and drug team","Female",2006,"55–59",264
"3163","alcohol and drug team","Female",2006,"60–64",148
"3164","alcohol and drug team","Female",2006,"65–69",62
"3165","alcohol and drug team","Female",2006,"70–74",29
"3166","alcohol and drug team","Female",2006,"75–79",18
"3167","alcohol and drug team","Female",2006,"80–84",12
"3168","alcohol and drug team","Female",2006,"85+",2
"3169","child, adolescent and family team","Male",2006,"0–4",230
"3170","child, adolescent and family team","Male",2006,"5–9",2223
"3171","child, adolescent and family team","Male",2006,"10–14",3648
"3172","child, adolescent and family team","Male",2006,"15–19",2181
"3173","child, adolescent and family team","Male",2006,"20–24",74
"3174","child, adolescent and family team","Male",2006,"25–29",13
"3175","child, adolescent and family team","Male",2006,"30–34",16
"3176","child, adolescent and family team","Male",2006,"35–39",13
"3177","child, adolescent and family team","Male",2006,"40–44",15
"3178","child, adolescent and family team","Male",2006,"45–49",14
"3179","child, adolescent and family team","Male",2006,"50–54",9
"3180","child, adolescent and family team","Male",2006,"55–59",8
"3181","child, adolescent and family team","Male",2006,"60–64",3
"3182","child, adolescent and family team","Male",2006,"65–69",0
"3183","child, adolescent and family team","Male",2006,"70–74",1
"3184","child, adolescent and family team","Male",2006,"75–79",0
"3185","child, adolescent and family team","Male",2006,"80–84",0
"3186","child, adolescent and family team","Male",2006,"85+",0
"3187","child, adolescent and family team","Female",2006,"0–4",104
"3188","child, adolescent and family team","Female",2006,"5–9",812
"3189","child, adolescent and family team","Female",2006,"10–14",2095
"3190","child, adolescent and family team","Female",2006,"15–19",2913
"3191","child, adolescent and family team","Female",2006,"20–24",53
"3192","child, adolescent and family team","Female",2006,"25–29",25
"3193","child, adolescent and family team","Female",2006,"30–34",46
"3194","child, adolescent and family team","Female",2006,"35–39",44
"3195","child, adolescent and family team","Female",2006,"40–44",36
"3196","child, adolescent and family team","Female",2006,"45–49",19
"3197","child, adolescent and family team","Female",2006,"50–54",16
"3198","child, adolescent and family team","Female",2006,"55–59",9
"3199","child, adolescent and family team","Female",2006,"60–64",4
"3200","child, adolescent and family team","Female",2006,"65–69",2
"3201","child, adolescent and family team","Female",2006,"70–74",0
"3202","child, adolescent and family team","Female",2006,"75–79",0
"3203","child, adolescent and family team","Female",2006,"80–84",0
"3204","child, adolescent and family team","Female",2006,"85+",0
"3205","forensic team","Male",2006,"0–4",0
"3206","forensic team","Male",2006,"5–9",1
"3207","forensic team","Male",2006,"10–14",41
"3208","forensic team","Male",2006,"15–19",329
"3209","forensic team","Male",2006,"20–24",481
"3210","forensic team","Male",2006,"25–29",466
"3211","forensic team","Male",2006,"30–34",468
"3212","forensic team","Male",2006,"35–39",426
"3213","forensic team","Male",2006,"40–44",336
"3214","forensic team","Male",2006,"45–49",227
"3215","forensic team","Male",2006,"50–54",117
"3216","forensic team","Male",2006,"55–59",71
"3217","forensic team","Male",2006,"60–64",34
"3218","forensic team","Male",2006,"65–69",13
"3219","forensic team","Male",2006,"70–74",9
"3220","forensic team","Male",2006,"75–79",5
"3221","forensic team","Male",2006,"80–84",4
"3222","forensic team","Male",2006,"85+",0
"3223","forensic team","Female",2006,"0–4",0
"3224","forensic team","Female",2006,"5–9",1
"3225","forensic team","Female",2006,"10–14",10
"3226","forensic team","Female",2006,"15–19",79
"3227","forensic team","Female",2006,"20–24",98
"3228","forensic team","Female",2006,"25–29",76
"3229","forensic team","Female",2006,"30–34",85
"3230","forensic team","Female",2006,"35–39",90
"3231","forensic team","Female",2006,"40–44",79
"3232","forensic team","Female",2006,"45–49",59
"3233","forensic team","Female",2006,"50–54",42
"3234","forensic team","Female",2006,"55–59",13
"3235","forensic team","Female",2006,"60–64",7
"3236","forensic team","Female",2006,"65–69",3
"3237","forensic team","Female",2006,"70–74",0
"3238","forensic team","Female",2006,"75–79",1
"3239","forensic team","Female",2006,"80–84",0
"3240","forensic team","Female",2006,"85+",0
"3241","kaupapa māori team","Male",2006,"0–4",6
"3242","kaupapa māori team","Male",2006,"5–9",75
"3243","kaupapa māori team","Male",2006,"10–14",157
"3244","kaupapa māori team","Male",2006,"15–19",178
"3245","kaupapa māori team","Male",2006,"20–24",251
"3246","kaupapa māori team","Male",2006,"25–29",263
"3247","kaupapa māori team","Male",2006,"30–34",256
"3248","kaupapa māori team","Male",2006,"35–39",241
"3249","kaupapa māori team","Male",2006,"40–44",200
"3250","kaupapa māori team","Male",2006,"45–49",124
"3251","kaupapa māori team","Male",2006,"50–54",77
"3252","kaupapa māori team","Male",2006,"55–59",51
"3253","kaupapa māori team","Male",2006,"60–64",26
"3254","kaupapa māori team","Male",2006,"65–69",7
"3255","kaupapa māori team","Male",2006,"70–74",7
"3256","kaupapa māori team","Male",2006,"75–79",9
"3257","kaupapa māori team","Male",2006,"80–84",2
"3258","kaupapa māori team","Male",2006,"85+",2
"3259","kaupapa māori team","Female",2006,"0–4",5
"3260","kaupapa māori team","Female",2006,"5–9",23
"3261","kaupapa māori team","Female",2006,"10–14",89
"3262","kaupapa māori team","Female",2006,"15–19",157
"3263","kaupapa māori team","Female",2006,"20–24",154
"3264","kaupapa māori team","Female",2006,"25–29",156
"3265","kaupapa māori team","Female",2006,"30–34",228
"3266","kaupapa māori team","Female",2006,"35–39",232
"3267","kaupapa māori team","Female",2006,"40–44",215
"3268","kaupapa māori team","Female",2006,"45–49",162
"3269","kaupapa māori team","Female",2006,"50–54",106
"3270","kaupapa māori team","Female",2006,"55–59",56
"3271","kaupapa māori team","Female",2006,"60–64",43
"3272","kaupapa māori team","Female",2006,"65–69",24
"3273","kaupapa māori team","Female",2006,"70–74",15
"3274","kaupapa māori team","Female",2006,"75–79",3
"3275","kaupapa māori team","Female",2006,"80–84",6
"3276","kaupapa māori team","Female",2006,"85+",2
"3277","pacific island team","Male",2006,"0–4",1
"3278","pacific island team","Male",2006,"5–9",10
"3279","pacific island team","Male",2006,"10–14",25
"3280","pacific island team","Male",2006,"15–19",87
"3281","pacific island team","Male",2006,"20–24",146
"3282","pacific island team","Male",2006,"25–29",141
"3283","pacific island team","Male",2006,"30–34",130
"3284","pacific island team","Male",2006,"35–39",105
"3285","pacific island team","Male",2006,"40–44",83
"3286","pacific island team","Male",2006,"45–49",57
"3287","pacific island team","Male",2006,"50–54",22
"3288","pacific island team","Male",2006,"55–59",23
"3289","pacific island team","Male",2006,"60–64",11
"3290","pacific island team","Male",2006,"65–69",9
"3291","pacific island team","Male",2006,"70–74",3
"3292","pacific island team","Male",2006,"75–79",3
"3293","pacific island team","Male",2006,"80–84",2
"3294","pacific island team","Male",2006,"85+",0
"3295","pacific island team","Female",2006,"0–4",0
"3296","pacific island team","Female",2006,"5–9",7
"3297","pacific island team","Female",2006,"10–14",15
"3298","pacific island team","Female",2006,"15–19",35
"3299","pacific island team","Female",2006,"20–24",45
"3300","pacific island team","Female",2006,"25–29",41
"3301","pacific island team","Female",2006,"30–34",48
"3302","pacific island team","Female",2006,"35–39",62
"3303","pacific island team","Female",2006,"40–44",51
"3304","pacific island team","Female",2006,"45–49",34
"3305","pacific island team","Female",2006,"50–54",24
"3306","pacific island team","Female",2006,"55–59",18
"3307","pacific island team","Female",2006,"60–64",13
"3308","pacific island team","Female",2006,"65–69",8
"3309","pacific island team","Female",2006,"70–74",5
"3310","pacific island team","Female",2006,"75–79",5
"3311","pacific island team","Female",2006,"80–84",0
"3312","pacific island team","Female",2006,"85+",0
"3313","residential team","Male",2006,"0–4",0
"3314","residential team","Male",2006,"5–9",0
"3315","residential team","Male",2006,"10–14",0
"3316","residential team","Male",2006,"15–19",1
"3317","residential team","Male",2006,"20–24",3
"3318","residential team","Male",2006,"25–29",6
"3319","residential team","Male",2006,"30–34",10
"3320","residential team","Male",2006,"35–39",11
"3321","residential team","Male",2006,"40–44",18
"3322","residential team","Male",2006,"45–49",28
"3323","residential team","Male",2006,"50–54",16
"3324","residential team","Male",2006,"55–59",18
"3325","residential team","Male",2006,"60–64",17
"3326","residential team","Male",2006,"65–69",13
"3327","residential team","Male",2006,"70–74",2
"3328","residential team","Male",2006,"75–79",4
"3329","residential team","Male",2006,"80–84",1
"3330","residential team","Male",2006,"85+",0
"3331","residential team","Female",2006,"0–4",0
"3332","residential team","Female",2006,"5–9",0
"3333","residential team","Female",2006,"10–14",0
"3334","residential team","Female",2006,"15–19",0
"3335","residential team","Female",2006,"20–24",1
"3336","residential team","Female",2006,"25–29",2
"3337","residential team","Female",2006,"30–34",1
"3338","residential team","Female",2006,"35–39",3
"3339","residential team","Female",2006,"40–44",3
"3340","residential team","Female",2006,"45–49",7
"3341","residential team","Female",2006,"50–54",9
"3342","residential team","Female",2006,"55–59",9
"3343","residential team","Female",2006,"60–64",11
"3344","residential team","Female",2006,"65–69",7
"3345","residential team","Female",2006,"70–74",3
"3346","residential team","Female",2006,"75–79",1
"3347","residential team","Female",2006,"80–84",0
"3348","residential team","Female",2006,"85+",1
"3349","community skills enhancement team","Male",2006,"0–4",0
"3350","community skills enhancement team","Male",2006,"5–9",0
"3351","community skills enhancement team","Male",2006,"10–14",1
"3352","community skills enhancement team","Male",2006,"15–19",21
"3353","community skills enhancement team","Male",2006,"20–24",39
"3354","community skills enhancement team","Male",2006,"25–29",44
"3355","community skills enhancement team","Male",2006,"30–34",74
"3356","community skills enhancement team","Male",2006,"35–39",74
"3357","community skills enhancement team","Male",2006,"40–44",55
"3358","community skills enhancement team","Male",2006,"45–49",66
"3359","community skills enhancement team","Male",2006,"50–54",44
"3360","community skills enhancement team","Male",2006,"55–59",30
"3361","community skills enhancement team","Male",2006,"60–64",13
"3362","community skills enhancement team","Male",2006,"65–69",3
"3363","community skills enhancement team","Male",2006,"70–74",7
"3364","community skills enhancement team","Male",2006,"75–79",4
"3365","community skills enhancement team","Male",2006,"80–84",0
"3366","community skills enhancement team","Male",2006,"85+",0
"3367","community skills enhancement team","Female",2006,"0–4",0
"3368","community skills enhancement team","Female",2006,"5–9",0
"3369","community skills enhancement team","Female",2006,"10–14",0
"3370","community skills enhancement team","Female",2006,"15–19",9
"3371","community skills enhancement team","Female",2006,"20–24",18
"3372","community skills enhancement team","Female",2006,"25–29",19
"3373","community skills enhancement team","Female",2006,"30–34",25
"3374","community skills enhancement team","Female",2006,"35–39",45
"3375","community skills enhancement team","Female",2006,"40–44",58
"3376","community skills enhancement team","Female",2006,"45–49",61
"3377","community skills enhancement team","Female",2006,"50–54",42
"3378","community skills enhancement team","Female",2006,"55–59",39
"3379","community skills enhancement team","Female",2006,"60–64",23
"3380","community skills enhancement team","Female",2006,"65–69",22
"3381","community skills enhancement team","Female",2006,"70–74",6
"3382","community skills enhancement team","Female",2006,"75–79",1
"3383","community skills enhancement team","Female",2006,"80–84",5
"3384","community skills enhancement team","Female",2006,"85+",1
"3385","alcohol and drug kaupapa māori team","Male",2006,"0–4",0
"3386","alcohol and drug kaupapa māori team","Male",2006,"5–9",0
"3387","alcohol and drug kaupapa māori team","Male",2006,"10–14",21
"3388","alcohol and drug kaupapa māori team","Male",2006,"15–19",139
"3389","alcohol and drug kaupapa māori team","Male",2006,"20–24",103
"3390","alcohol and drug kaupapa māori team","Male",2006,"25–29",107
"3391","alcohol and drug kaupapa māori team","Male",2006,"30–34",115
"3392","alcohol and drug kaupapa māori team","Male",2006,"35–39",124
"3393","alcohol and drug kaupapa māori team","Male",2006,"40–44",76
"3394","alcohol and drug kaupapa māori team","Male",2006,"45–49",46
"3395","alcohol and drug kaupapa māori team","Male",2006,"50–54",18
"3396","alcohol and drug kaupapa māori team","Male",2006,"55–59",9
"3397","alcohol and drug kaupapa māori team","Male",2006,"60–64",4
"3398","alcohol and drug kaupapa māori team","Male",2006,"65–69",3
"3399","alcohol and drug kaupapa māori team","Male",2006,"70–74",0
"3400","alcohol and drug kaupapa māori team","Male",2006,"75–79",0
"3401","alcohol and drug kaupapa māori team","Male",2006,"80–84",0
"3402","alcohol and drug kaupapa māori team","Male",2006,"85+",0
"3403","alcohol and drug kaupapa māori team","Female",2006,"0–4",0
"3404","alcohol and drug kaupapa māori team","Female",2006,"5–9",0
"3405","alcohol and drug kaupapa māori team","Female",2006,"10–14",26
"3406","alcohol and drug kaupapa māori team","Female",2006,"15–19",75
"3407","alcohol and drug kaupapa māori team","Female",2006,"20–24",61
"3408","alcohol and drug kaupapa māori team","Female",2006,"25–29",57
"3409","alcohol and drug kaupapa māori team","Female",2006,"30–34",58
"3410","alcohol and drug kaupapa māori team","Female",2006,"35–39",73
"3411","alcohol and drug kaupapa māori team","Female",2006,"40–44",54
"3412","alcohol and drug kaupapa māori team","Female",2006,"45–49",22
"3413","alcohol and drug kaupapa māori team","Female",2006,"50–54",10
"3414","alcohol and drug kaupapa māori team","Female",2006,"55–59",5
"3415","alcohol and drug kaupapa māori team","Female",2006,"60–64",7
"3416","alcohol and drug kaupapa māori team","Female",2006,"65–69",2
"3417","alcohol and drug kaupapa māori team","Female",2006,"70–74",1
"3418","alcohol and drug kaupapa māori team","Female",2006,"75–79",0
"3419","alcohol and drug kaupapa māori team","Female",2006,"80–84",0
"3420","alcohol and drug kaupapa māori team","Female",2006,"85+",0
"3421","alcohol and drug dual diagnosis team","Male",2006,"0–4",0
"3422","alcohol and drug dual diagnosis team","Male",2006,"5–9",0
"3423","alcohol and drug dual diagnosis team","Male",2006,"10–14",5
"3424","alcohol and drug dual diagnosis team","Male",2006,"15–19",9
"3425","alcohol and drug dual diagnosis team","Male",2006,"20–24",44
"3426","alcohol and drug dual diagnosis team","Male",2006,"25–29",69
"3427","alcohol and drug dual diagnosis team","Male",2006,"30–34",66
"3428","alcohol and drug dual diagnosis team","Male",2006,"35–39",57
"3429","alcohol and drug dual diagnosis team","Male",2006,"40–44",53
"3430","alcohol and drug dual diagnosis team","Male",2006,"45–49",42
"3431","alcohol and drug dual diagnosis team","Male",2006,"50–54",31
"3432","alcohol and drug dual diagnosis team","Male",2006,"55–59",13
"3433","alcohol and drug dual diagnosis team","Male",2006,"60–64",6
"3434","alcohol and drug dual diagnosis team","Male",2006,"65–69",4
"3435","alcohol and drug dual diagnosis team","Male",2006,"70–74",5
"3436","alcohol and drug dual diagnosis team","Male",2006,"75–79",1
"3437","alcohol and drug dual diagnosis team","Male",2006,"80–84",0
"3438","alcohol and drug dual diagnosis team","Male",2006,"85+",0
"3439","alcohol and drug dual diagnosis team","Female",2006,"0–4",0
"3440","alcohol and drug dual diagnosis team","Female",2006,"5–9",0
"3441","alcohol and drug dual diagnosis team","Female",2006,"10–14",1
"3442","alcohol and drug dual diagnosis team","Female",2006,"15–19",18
"3443","alcohol and drug dual diagnosis team","Female",2006,"20–24",31
"3444","alcohol and drug dual diagnosis team","Female",2006,"25–29",33
"3445","alcohol and drug dual diagnosis team","Female",2006,"30–34",35
"3446","alcohol and drug dual diagnosis team","Female",2006,"35–39",34
"3447","alcohol and drug dual diagnosis team","Female",2006,"40–44",36
"3448","alcohol and drug dual diagnosis team","Female",2006,"45–49",23
"3449","alcohol and drug dual diagnosis team","Female",2006,"50–54",17
"3450","alcohol and drug dual diagnosis team","Female",2006,"55–59",6
"3451","alcohol and drug dual diagnosis team","Female",2006,"60–64",7
"3452","alcohol and drug dual diagnosis team","Female",2006,"65–69",2
"3453","alcohol and drug dual diagnosis team","Female",2006,"70–74",2
"3454","alcohol and drug dual diagnosis team","Female",2006,"75–79",0
"3455","alcohol and drug dual diagnosis team","Female",2006,"80–84",0
"3456","alcohol and drug dual diagnosis team","Female",2006,"85+",0
"3457","intellectual disability dual diagnosis team","Male",2006,"0–4",0
"3458","intellectual disability dual diagnosis team","Male",2006,"5–9",0
"3459","intellectual disability dual diagnosis team","Male",2006,"10–14",0
"3460","intellectual disability dual diagnosis team","Male",2006,"15–19",19
"3461","intellectual disability dual diagnosis team","Male",2006,"20–24",52
"3462","intellectual disability dual diagnosis team","Male",2006,"25–29",47
"3463","intellectual disability dual diagnosis team","Male",2006,"30–34",50
"3464","intellectual disability dual diagnosis team","Male",2006,"35–39",65
"3465","intellectual disability dual diagnosis team","Male",2006,"40–44",71
"3466","intellectual disability dual diagnosis team","Male",2006,"45–49",56
"3467","intellectual disability dual diagnosis team","Male",2006,"50–54",48
"3468","intellectual disability dual diagnosis team","Male",2006,"55–59",33
"3469","intellectual disability dual diagnosis team","Male",2006,"60–64",23
"3470","intellectual disability dual diagnosis team","Male",2006,"65–69",5
"3471","intellectual disability dual diagnosis team","Male",2006,"70–74",0
"3472","intellectual disability dual diagnosis team","Male",2006,"75–79",0
"3473","intellectual disability dual diagnosis team","Male",2006,"80–84",2
"3474","intellectual disability dual diagnosis team","Male",2006,"85+",0
"3475","intellectual disability dual diagnosis team","Female",2006,"0–4",0
"3476","intellectual disability dual diagnosis team","Female",2006,"5–9",0
"3477","intellectual disability dual diagnosis team","Female",2006,"10–14",0
"3478","intellectual disability dual diagnosis team","Female",2006,"15–19",9
"3479","intellectual disability dual diagnosis team","Female",2006,"20–24",22
"3480","intellectual disability dual diagnosis team","Female",2006,"25–29",23
"3481","intellectual disability dual diagnosis team","Female",2006,"30–34",32
"3482","intellectual disability dual diagnosis team","Female",2006,"35–39",40
"3483","intellectual disability dual diagnosis team","Female",2006,"40–44",53
"3484","intellectual disability dual diagnosis team","Female",2006,"45–49",51
"3485","intellectual disability dual diagnosis team","Female",2006,"50–54",43
"3486","intellectual disability dual diagnosis team","Female",2006,"55–59",30
"3487","intellectual disability dual diagnosis team","Female",2006,"60–64",11
"3488","intellectual disability dual diagnosis team","Female",2006,"65–69",7
"3489","intellectual disability dual diagnosis team","Female",2006,"70–74",1
"3490","intellectual disability dual diagnosis team","Female",2006,"75–79",1
"3491","intellectual disability dual diagnosis team","Female",2006,"80–84",0
"3492","intellectual disability dual diagnosis team","Female",2006,"85+",0
"3493","psychogeriatric team","Male",2006,"0–4",0
"3494","psychogeriatric team","Male",2006,"5–9",0
"3495","psychogeriatric team","Male",2006,"10–14",0
"3496","psychogeriatric team","Male",2006,"15–19",1
"3497","psychogeriatric team","Male",2006,"20–24",5
"3498","psychogeriatric team","Male",2006,"25–29",9
"3499","psychogeriatric team","Male",2006,"30–34",12
"3500","psychogeriatric team","Male",2006,"35–39",6
"3501","psychogeriatric team","Male",2006,"40–44",13
"3502","psychogeriatric team","Male",2006,"45–49",8
"3503","psychogeriatric team","Male",2006,"50–54",17
"3504","psychogeriatric team","Male",2006,"55–59",30
"3505","psychogeriatric team","Male",2006,"60–64",76
"3506","psychogeriatric team","Male",2006,"65–69",248
"3507","psychogeriatric team","Male",2006,"70–74",407
"3508","psychogeriatric team","Male",2006,"75–79",485
"3509","psychogeriatric team","Male",2006,"80–84",424
"3510","psychogeriatric team","Male",2006,"85+",406
"3511","psychogeriatric team","Female",2006,"0–4",0
"3512","psychogeriatric team","Female",2006,"5–9",0
"3513","psychogeriatric team","Female",2006,"10–14",0
"3514","psychogeriatric team","Female",2006,"15–19",0
"3515","psychogeriatric team","Female",2006,"20–24",3
"3516","psychogeriatric team","Female",2006,"25–29",5
"3517","psychogeriatric team","Female",2006,"30–34",7
"3518","psychogeriatric team","Female",2006,"35–39",10
"3519","psychogeriatric team","Female",2006,"40–44",12
"3520","psychogeriatric team","Female",2006,"45–49",19
"3521","psychogeriatric team","Female",2006,"50–54",23
"3522","psychogeriatric team","Female",2006,"55–59",45
"3523","psychogeriatric team","Female",2006,"60–64",81
"3524","psychogeriatric team","Female",2006,"65–69",397
"3525","psychogeriatric team","Female",2006,"70–74",515
"3526","psychogeriatric team","Female",2006,"75–79",707
"3527","psychogeriatric team","Female",2006,"80–84",792
"3528","psychogeriatric team","Female",2006,"85+",866
"3529","youth specialty team","Male",2006,"0–4",0
"3530","youth specialty team","Male",2006,"5–9",9
"3531","youth specialty team","Male",2006,"10–14",210
"3532","youth specialty team","Male",2006,"15–19",965
"3533","youth specialty team","Male",2006,"20–24",111
"3534","youth specialty team","Male",2006,"25–29",20
"3535","youth specialty team","Male",2006,"30–34",1
"3536","youth specialty team","Male",2006,"35–39",0
"3537","youth specialty team","Male",2006,"40–44",0
"3538","youth specialty team","Male",2006,"45–49",1
"3539","youth specialty team","Male",2006,"50–54",0
"3540","youth specialty team","Male",2006,"55–59",1
"3541","youth specialty team","Male",2006,"60–64",0
"3542","youth specialty team","Male",2006,"65–69",0
"3543","youth specialty team","Male",2006,"70–74",0
"3544","youth specialty team","Male",2006,"75–79",0
"3545","youth specialty team","Male",2006,"80–84",0
"3546","youth specialty team","Male",2006,"85+",0
"3547","youth specialty team","Female",2006,"0–4",1
"3548","youth specialty team","Female",2006,"5–9",4
"3549","youth specialty team","Female",2006,"10–14",238
"3550","youth specialty team","Female",2006,"15–19",970
"3551","youth specialty team","Female",2006,"20–24",76
"3552","youth specialty team","Female",2006,"25–29",2
"3553","youth specialty team","Female",2006,"30–34",0
"3554","youth specialty team","Female",2006,"35–39",1
"3555","youth specialty team","Female",2006,"40–44",0
"3556","youth specialty team","Female",2006,"45–49",0
"3557","youth specialty team","Female",2006,"50–54",0
"3558","youth specialty team","Female",2006,"55–59",0
"3559","youth specialty team","Female",2006,"60–64",1
"3560","youth specialty team","Female",2006,"65–69",0
"3561","youth specialty team","Female",2006,"70–74",0
"3562","youth specialty team","Female",2006,"75–79",0
"3563","youth specialty team","Female",2006,"80–84",0
"3564","youth specialty team","Female",2006,"85+",0
"3565","maternal mental health team","Male",2006,"0–4",2
"3566","maternal mental health team","Male",2006,"5–9",0
"3567","maternal mental health team","Male",2006,"10–14",0
"3568","maternal mental health team","Male",2006,"15–19",0
"3569","maternal mental health team","Male",2006,"20–24",1
"3570","maternal mental health team","Male",2006,"25–29",2
"3571","maternal mental health team","Male",2006,"30–34",0
"3572","maternal mental health team","Male",2006,"35–39",1
"3573","maternal mental health team","Male",2006,"40–44",1
"3574","maternal mental health team","Male",2006,"45–49",0
"3575","maternal mental health team","Male",2006,"50–54",0
"3576","maternal mental health team","Male",2006,"55–59",1
"3577","maternal mental health team","Male",2006,"60–64",0
"3578","maternal mental health team","Male",2006,"65–69",1
"3579","maternal mental health team","Male",2006,"70–74",0
"3580","maternal mental health team","Male",2006,"75–79",0
"3581","maternal mental health team","Male",2006,"80–84",0
"3582","maternal mental health team","Male",2006,"85+",0
"3583","maternal mental health team","Female",2006,"0–4",2
"3584","maternal mental health team","Female",2006,"5–9",0
"3585","maternal mental health team","Female",2006,"10–14",1
"3586","maternal mental health team","Female",2006,"15–19",68
"3587","maternal mental health team","Female",2006,"20–24",242
"3588","maternal mental health team","Female",2006,"25–29",349
"3589","maternal mental health team","Female",2006,"30–34",493
"3590","maternal mental health team","Female",2006,"35–39",394
"3591","maternal mental health team","Female",2006,"40–44",84
"3592","maternal mental health team","Female",2006,"45–49",12
"3593","maternal mental health team","Female",2006,"50–54",2
"3594","maternal mental health team","Female",2006,"55–59",0
"3595","maternal mental health team","Female",2006,"60–64",2
"3596","maternal mental health team","Female",2006,"65–69",1
"3597","maternal mental health team","Female",2006,"70–74",0
"3598","maternal mental health team","Female",2006,"75–79",0
"3599","maternal mental health team","Female",2006,"80–84",1
"3600","maternal mental health team","Female",2006,"85+",0
"3601","eating disorder team","Male",2006,"0–4",1
"3602","eating disorder team","Male",2006,"5–9",0
"3603","eating disorder team","Male",2006,"10–14",2
"3604","eating disorder team","Male",2006,"15–19",4
"3605","eating disorder team","Male",2006,"20–24",3
"3606","eating disorder team","Male",2006,"25–29",4
"3607","eating disorder team","Male",2006,"30–34",1
"3608","eating disorder team","Male",2006,"35–39",3
"3609","eating disorder team","Male",2006,"40–44",2
"3610","eating disorder team","Male",2006,"45–49",0
"3611","eating disorder team","Male",2006,"50–54",0
"3612","eating disorder team","Male",2006,"55–59",2
"3613","eating disorder team","Male",2006,"60–64",0
"3614","eating disorder team","Male",2006,"65–69",0
"3615","eating disorder team","Male",2006,"70–74",0
"3616","eating disorder team","Male",2006,"75–79",0
"3617","eating disorder team","Male",2006,"80–84",0
"3618","eating disorder team","Male",2006,"85+",0
"3619","eating disorder team","Female",2006,"0–4",0
"3620","eating disorder team","Female",2006,"5–9",0
"3621","eating disorder team","Female",2006,"10–14",20
"3622","eating disorder team","Female",2006,"15–19",100
"3623","eating disorder team","Female",2006,"20–24",63
"3624","eating disorder team","Female",2006,"25–29",30
"3625","eating disorder team","Female",2006,"30–34",30
"3626","eating disorder team","Female",2006,"35–39",20
"3627","eating disorder team","Female",2006,"40–44",17
"3628","eating disorder team","Female",2006,"45–49",14
"3629","eating disorder team","Female",2006,"50–54",8
"3630","eating disorder team","Female",2006,"55–59",1
"3631","eating disorder team","Female",2006,"60–64",3
"3632","eating disorder team","Female",2006,"65–69",2
"3633","eating disorder team","Female",2006,"70–74",0
"3634","eating disorder team","Female",2006,"75–79",0
"3635","eating disorder team","Female",2006,"80–84",0
